course_id,exam_code,conjunto_id,weight
0100_7092_9500,02,1,0.5
0100_7092_9500,06,1,0.5
0100_7092_9500,02,2,0.5
0100_7092_9500,07,2,0.5
0100_7092_9500,02,3,0.5
0100_7092_9500,17,3,0.5
0100_7092_9500,02,4,0.5
0100_7092_9500,18,4,0.5
0100_7093_9500,02,1,0.5
0100_7093_9500,06,1,0.5
0100_7093_9500,02,2,0.5
0100_7093_9500,07,2,0.5
0100_7093_9500,02,3,0.5
0100_7093_9500,17,3,0.5
0100_7093_9500,02,4,0.5
0100_7093_9500,18,4,0.5
0100_0140_9022,02,1,0.5
0100_0140_9022,04,1,0.5
0100_0140_9022,02,2,0.5
0100_0140_9022,07,2,0.5
0100_0140_9022,02,3,0.5
0100_0140_9022,16,3,0.5
0100_0140_9022,02,4,0.5
0100_0140_9022,19,4,0.5
0100_0140_L344,09,1,0.5
0100_0140_L344,18,1,0.5
0100_0140_L344,11,2,0.5
0100_0140_L344,18,2,0.5
0100_0140_L344,02,3,0.5
0100_0140_L344,19,3,0.5
0100_0140_8086,02,1,0.5
0100_0140_8086,07,1,0.5
0100_0150_9652,04,1,0.5
0100_0150_9652,11,1,0.5
0100_0150_9652,04,2,0.5
0100_0150_9652,18,2,0.5
0100_0150_9652,11,3,0.5
0100_0150_9652,18,3,0.5
0100_0150_9853,17,1,0.5
0100_0150_9853,18,1,0.5
0100_0150_9135,06,1,0.5
0100_0150_9135,11,1,0.5
0100_0150_9135,06,2,0.5
0100_0150_9135,18,2,0.5
0100_0150_9135,11,3,0.5
0100_0150_9135,18,3,0.5
0100_0150_L041,13,1,0.5
0100_0150_L041,18,1,0.5
0100_0150_L041,13,2,0.5
0100_0150_L041,15,2,0.5
0100_0150_L041,13,3,0.3333
0100_0150_L041,15,3,0.3333
0100_0150_L041,18,3,0.3333
0100_0150_9181,11,1,0.5
0100_0150_9181,18,1,0.5
0100_0150_9181,12,2,0.5
0100_0150_9181,18,2,0.5
0100_0150_9181,06,3,0.5
0100_0150_9181,11,3,0.5
0100_0150_9219,02,1,0.5
0100_0150_9219,18,1,0.5
0100_0150_9219,17,2,0.5
0100_0150_9219,18,2,0.5
0100_0150_9219,02,3,0.5
0100_0150_9219,19,3,0.5
0100_0150_9238,18,1,0.5
0100_0150_9238,02,1,0.5
0100_0150_9238,18,2,0.5
0100_0150_9238,04,2,0.5
0100_0150_9238,18,3,0.5
0100_0150_9238,06,3,0.5
0100_0150_9238,18,4,0.5
0100_0150_9238,11,4,0.5
0100_0150_9238,18,5,0.5
0100_0150_9238,16,5,0.5
0100_0150_9240,04,1,0.5
0100_0150_9240,11,1,0.5
0100_0150_9240,04,2,0.5
0100_0150_9240,18,2,0.5
0100_0150_9240,11,3,0.5
0100_0150_9240,18,3,0.5
0100_0160_9011,02,1,0.5
0100_0160_9011,07,1,0.5
0100_0160_9011,02,2,0.5
0100_0160_9011,16,2,0.5
0100_0160_9011,02,3,0.5
0100_0160_9011,09,3,0.5
0100_0160_8083,02,1,0.3333
0100_0160_8083,07,1,0.3333
0100_0160_8083,19,1,0.3333
0100_0160_8571,07,1,0.5
0100_0160_8571,19,1,0.5
0100_0160_A017,02,1,0.5
0100_0160_A017,07,1,0.5
0100_0160_A017,02,2,0.5
0100_0160_A017,16,2,0.5
0100_0160_A017,02,3,0.5
0100_0160_A017,09,3,0.5
0100_0160_9185,04,1,0.5
0100_0160_9185,16,1,0.5
0100_0160_9185,07,2,0.5
0100_0160_9185,16,2,0.5
0100_0160_9185,10,3,0.5
0100_0160_9185,16,3,0.5
0100_0160_8524,02,1,0.5
0100_0160_8524,09,1,0.5
0100_0160_8524,02,2,0.5
0100_0160_8524,16,2,0.5
0100_0160_8524,02,3,0.5
0100_0160_8524,07,3,0.5
0100_0170_9081,04,1,0.5
0100_0170_9081,16,1,0.5
0100_0170_9081,16,2,0.5
0100_0170_9081,18,2,0.5
0100_0170_9081,11,3,0.5
0100_0170_9081,16,3,0.5
0100_0170_9147,04,1,0.5
0100_0170_9147,16,1,0.5
0100_0170_9147,04,2,0.5
0100_0170_9147,18,2,0.5
0100_0170_9147,16,3,0.5
0100_0170_9147,18,3,0.5
0100_0170_9254,11,1,0.5
0100_0170_9254,18,1,0.5
0100_0170_9254,04,2,0.5
0100_0170_9254,18,2,0.5
0100_0170_9254,16,3,0.5
0100_0170_9254,18,3,0.5
0200_3081_9023,11,1,0.5
0200_3081_9023,18,1,0.5
0200_3081_9023,06,2,0.5
0200_3081_9023,18,2,0.5
0200_3081_9023,13,3,0.5
0200_3081_9023,18,3,0.5
0200_3081_9070,03,1,0.5
0200_3081_9070,18,1,0.5
0200_3081_9070,03,2,0.5
0200_3081_9070,10,2,0.5
0200_3081_9070,03,3,0.5
0200_3081_9070,12,3,0.5
0200_3081_9070,10,4,0.5
0200_3081_9070,12,4,0.5
0200_3081_9563,02,1,0.5
0200_3081_9563,18,1,0.5
0200_3081_9563,17,2,0.5
0200_3081_9563,18,2,0.5
0200_3081_9563,02,3,0.5
0200_3081_9563,16,3,0.5
0200_3081_9853,17,1,0.5
0200_3081_9853,18,1,0.5
0200_3081_9084,04,1,0.5
0200_3081_9084,09,1,0.5
0200_3081_9084,04,2,0.5
0200_3081_9084,11,2,0.5
0200_3081_9084,04,3,0.5
0200_3081_9084,18,3,0.5
0200_3081_9084,09,4,0.5
0200_3081_9084,11,4,0.5
0200_3081_9084,09,5,0.5
0200_3081_9084,18,5,0.5
0200_3081_9084,11,6,0.5
0200_3081_9084,18,6,0.5
0200_3081_8337,03,1,0.5
0200_3081_8337,10,1,0.5
0200_3081_8337,03,2,0.5
0200_3081_8337,12,2,0.5
0200_3081_8337,03,3,0.5
0200_3081_8337,18,3,0.5
0200_3081_8337,10,4,0.5
0200_3081_8337,12,4,0.5
0200_3081_8337,10,5,0.5
0200_3081_8337,18,5,0.5
0200_3081_8337,12,6,0.5
0200_3081_8337,18,6,0.5
0200_3082_9147,04,1,0.5
0200_3082_9147,18,1,0.5
0200_3082_9147,17,2,0.5
0200_3082_9147,18,2,0.5
0200_3082_9147,04,3,0.5
0200_3082_9147,09,3,0.5
0200_3082_9147,04,4,0.5
0200_3082_9147,13,4,0.5
0200_3082_9147,04,5,0.5
0200_3082_9147,17,5,0.5
0200_3082_9147,04,6,0.5
0200_3082_9147,06,6,0.5
0200_3082_9148,04,1,0.5
0200_3082_9148,18,1,0.5
0200_3082_9148,17,2,0.5
0200_3082_9148,18,2,0.5
0200_3082_9148,04,3,0.5
0200_3082_9148,09,3,0.5
0200_3082_9148,04,4,0.5
0200_3082_9148,13,4,0.5
0200_3082_9148,04,5,0.5
0200_3082_9148,17,5,0.5
0200_3082_9148,04,6,0.5
0200_3082_9148,06,6,0.5
0200_3082_9173,09,1,0.5
0200_3082_9173,18,1,0.5
0200_3082_9173,17,2,0.5
0200_3082_9173,18,2,0.5
0200_3082_9173,04,3,0.5
0200_3082_9173,09,3,0.5
0200_3082_9173,04,4,0.5
0200_3082_9173,18,4,0.5
0200_3082_9173,04,5,0.5
0200_3082_9173,17,5,0.5
0200_3082_9173,04,6,0.5
0200_3082_9173,13,6,0.5
0200_3082_9205,04,1,0.5
0200_3082_9205,09,1,0.5
0200_3082_9205,04,2,0.5
0200_3082_9205,17,2,0.5
0200_3082_9205,04,3,0.5
0200_3082_9205,18,3,0.5
0200_3082_9205,09,4,0.5
0200_3082_9205,17,4,0.5
0200_3082_9205,09,5,0.5
0200_3082_9205,18,5,0.5
0200_3082_9205,17,6,0.5
0200_3082_9205,18,6,0.5
0200_3082_9254,09,1,0.5
0200_3082_9254,18,1,0.5
0200_3082_9254,06,2,0.5
0200_3082_9254,18,2,0.5
0200_3082_9254,11,3,0.5
0200_3082_9254,13,3,0.5
0200_3082_9254,11,4,0.5
0200_3082_9254,18,4,0.5
0200_3082_9254,13,5,0.5
