id,nome,instituicao_nome,tipo,nota_ultimo_colocado,distrito,area,peso_secundario,peso_exames,nota_minima_p_ingresso,vagas,history
0100_0140_8086,Medicina Veterinária (Preparatórios),Universidade dos Açores,publica,15.9,Açores,Ciências da Vida e Saúde,0.5,0.5,95.0,23,"[{""year"": 2019, ""nota"": 15.1}, {""year"": 2020, ""nota"": 15.9}, {""year"": 2021, ""nota"": 16.8}, {""year"": 2022, ""nota"": 16.4}, {""year"": 2023, ""nota"": 15.7}, {""year"": 2024, ""nota"": 15.9}]"
0100_0140_9022,Ciências Agrárias,Universidade dos Açores,publica,13.3,Açores,Ciências da Vida e Saúde,0.5,0.5,95.0,20,"[{""year"": 2019, ""nota"": 12.2}, {""year"": 2020, ""nota"": 12.7}, {""year"": 2021, ""nota"": 12.8}, {""year"": 2022, ""nota"": 13.4}, {""year"": 2023, ""nota"": 13.0}, {""year"": 2024, ""nota"": 13.3}]"
0100_0140_L344,Guias de Natureza e Património,Universidade dos Açores,publica,13.8,Açores,Ciências da Vida e Saúde,0.5,0.5,95.0,30,"[{""year"": 2024, ""nota"": 13.8}]"
0100_0150_9135,Estudos Europeus,Universidade dos Açores,publica,13.2,Açores,"Economia, Gestão e Contabilidade",0.5,0.5,95.0,30,"[{""year"": 2022, ""nota"": 12.9}, {""year"": 2023, ""nota"": 13.1}, {""year"": 2024, ""nota"": 13.2}]"
0100_0150_9181,História,Universidade dos Açores,publica,15.4,Açores,"Direito, Ciências Sociais e Humanas",0.5,0.5,95.0,30,"[{""year"": 2019, ""nota"": 13.3}, {""year"": 2020, ""nota"": 15.0}, {""year"": 2021, ""nota"": 15.1}, {""year"": 2022, ""nota"": 14.8}, {""year"": 2023, ""nota"": 14.7}, {""year"": 2024, ""nota"": 15.4}]"
0100_0150_9219,Psicologia,Universidade dos Açores,publica,15.9,Açores,"Economia, Gestão e Contabilidade",0.5,0.5,95.0,49,"[{""year"": 2019, ""nota"": 13.9}, {""year"": 2020, ""nota"": 14.6}, {""year"": 2021, ""nota"": 15.5}, {""year"": 2022, ""nota"": 15.4}, {""year"": 2023, ""nota"": 16.0}, {""year"": 2024, ""nota"": 15.9}]"
0100_0150_9238,Serviço Social,Universidade dos Açores,publica,13.2,Açores,"Direito, Ciências Sociais e Humanas",0.5,0.5,95.0,44,"[{""year"": 2019, ""nota"": 12.2}, {""year"": 2020, ""nota"": 13.5}, {""year"": 2021, ""nota"": 14.1}, {""year"": 2022, ""nota"": 13.6}, {""year"": 2023, ""nota"": 14.0}, {""year"": 2024, ""nota"": 13.2}]"
0100_0150_9240,Sociologia,Universidade dos Açores,publica,12.7,Açores,"Economia, Gestão e Contabilidade",0.5,0.5,95.0,33,"[{""year"": 2019, ""nota"": 11.6}, {""year"": 2020, ""nota"": 12.4}, {""year"": 2021, ""nota"": 12.6}, {""year"": 2022, ""nota"": 12.3}, {""year"": 2023, ""nota"": 13.0}, {""year"": 2024, ""nota"": 12.7}]"
0100_0150_9652,Comunicação e Relações Públicas,Universidade dos Açores,publica,13.4,Açores,"Economia, Gestão e Contabilidade",0.5,0.5,95.0,50,"[{""year"": 2022, ""nota"": 13.4}, {""year"": 2023, ""nota"": 13.5}, {""year"": 2024, ""nota"": 13.4}]"
0100_0150_9853,Educação Básica,Universidade dos Açores,publica,15.5,Açores,Educação e Desporto,0.5,0.5,95.0,30,"[{""year"": 2019, ""nota"": 13.2}, {""year"": 2020, ""nota"": 14.1}, {""year"": 2021, ""nota"": 14.8}, {""year"": 2022, ""nota"": 14.4}, {""year"": 2023, ""nota"": 14.1}, {""year"": 2024, ""nota"": 15.5}]"
0100_0150_L041,Estudos Portugueses e Ingleses,Universidade dos Açores,publica,15.3,Açores,"Direito, Ciências Sociais e Humanas",0.5,0.5,95.0,30,"[{""year"": 2019, ""nota"": 13.1}, {""year"": 2020, ""nota"": 13.9}, {""year"": 2021, ""nota"": 15.0}, {""year"": 2022, ""nota"": 14.7}, {""year"": 2023, ""nota"": 15.7}, {""year"": 2024, ""nota"": 15.3}]"
0100_0160_8083,Ciclo Básico de Medicina,Universidade dos Açores,publica,17.6,Açores,Ciências da Vida e Saúde,0.5,0.5,140.0,50,"[{""year"": 2019, ""nota"": 17.3}, {""year"": 2020, ""nota"": 17.9}, {""year"": 2021, ""nota"": 17.9}, {""year"": 2022, ""nota"": 18.0}, {""year"": 2023, ""nota"": 17.5}, {""year"": 2024, ""nota"": 17.6}]"
0100_0160_8524,Protecção Civil e Gestão de Riscos,Universidade dos Açores,publica,13.9,Açores,Ciências Exatas e da Natureza,0.5,0.5,95.0,40,"[{""year"": 2019, ""nota"": 12.1}, {""year"": 2020, ""nota"": 13.0}, {""year"": 2021, ""nota"": 13.7}, {""year"": 2022, ""nota"": 12.8}, {""year"": 2023, ""nota"": 13.6}, {""year"": 2024, ""nota"": 13.9}]"
0100_0160_8571,Ciências de Engenharia - Engenharia Mecânica; Engenharia Eletrotécnica e de Computadores (Preparatórios),Universidade dos Açores,publica,15.7,Açores,Engenharia e Tecnologia,0.5,0.5,100.0,29,"[{""year"": 2021, ""nota"": 15.1}, {""year"": 2022, ""nota"": 14.9}, {""year"": 2023, ""nota"": 15.8}, {""year"": 2024, ""nota"": 15.7}]"
0100_0160_9011,Biologia,Universidade dos Açores,publica,14.0,Açores,Ciências da Vida e Saúde,0.5,0.5,95.0,50,"[{""year"": 2019, ""nota"": 12.9}, {""year"": 2020, ""nota"": 13.3}, {""year"": 2021, ""nota"": 15.1}, {""year"": 2022, ""nota"": 14.8}, {""year"": 2023, ""nota"": 13.6}, {""year"": 2024, ""nota"": 14.0}]"
0100_0160_9185,Informática,Universidade dos Açores,publica,14.9,Açores,Informática e Dados,0.5,0.5,95.0,35,"[{""year"": 2020, ""nota"": 13.6}, {""year"": 2021, ""nota"": 13.2}, {""year"": 2022, ""nota"": 13.8}, {""year"": 2023, ""nota"": 13.8}, {""year"": 2024, ""nota"": 14.9}]"
0100_0160_A017,Ciências do Oceano (ensino em inglês),Universidade dos Açores,publica,,Açores,Ciências Exatas e da Natureza,0.5,0.5,95.0,20,
