PORTAL INFOCURSOS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2) Percentil médio de entrada no curso,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Estabelecimento,CodigoEstabelecimento,UnidadeOrganica,CodigoUnidadeOrganica,Natureza,TipoEnsino,NomeCurso,CodigoCurso,Grau,PercentilMedio2019,NotaIngressoMedia2019,NumeroMatriculadosCNA2019,PercentilMedio2020,NotaIngressoMedia2020,NumeroMatriculadosCNA2020,PercentilMedio2021,NotaIngressoMedia2021,NumeroMatriculadosCNA2021,PercentilMedio2022,NotaIngressoMedia2022,NumeroMatriculadosCNA2022,PercentilMedio2023,NotaIngressoMedia2023,NumeroMatriculadosCNA2023,PercentilMedio2024,NotaIngressoMedia2024,NumeroMatriculadosCNA2024
Universidade dos Açores,0100,Faculdade de Ciências Agrárias e do Ambiente,0140,Público,Universitário,Medicina Veterinária (Preparatórios),8086,Preparatórios de Mestrado Integrado,"0,518","15,1",15,"0,444","15,9",15,"0,528","16,8",15,"0,519","16,4",15,"0,383","15,7",21,"0,434","15,9",21
Universidade dos Açores,0100,Faculdade de Ciências Agrárias e do Ambiente,0140,Público,Universitário,Ciências Agrárias,9022,Licenciatura 1.º ciclo,"0,236","12,2",3,"0,145","12,7",14,"0,112","12,8",13,"0,173","13,4",15,"0,11",13,8,"0,134","13,3",6
Universidade dos Açores,0100,Faculdade de Ciências Agrárias e do Ambiente,0140,Público,Universitário,Guias de Natureza e Património,L344,Licenciatura 1.º ciclo,,,,,,,,,,,,,,,,"0,182","13,8",4
Universidade dos Açores,0100,Faculdade de Ciências Sociais e Humanas,0150,Público,Universitário,Estudos Europeus,9135,Licenciatura 1.º ciclo,,,,,,,,,,"0,188","12,9",19,"0,21","13,1",20,"0,185","13,2",19
Universidade dos Açores,0100,Faculdade de Ciências Sociais e Humanas,0150,Público,Universitário,História,9181,Licenciatura 1.º ciclo,"0,357","13,3",19,"0,479",15,20,"0,432","15,1",22,"0,35","14,8",19,"0,375","14,7",20,"0,497","15,4",19
Universidade dos Açores,0100,Faculdade de Ciências Sociais e Humanas,0150,Público,Universitário,Psicologia,9219,Licenciatura 1.º ciclo,"0,484","13,9",34,"0,514","14,6",41,"0,62","15,5",32,"0,58","15,4",33,"0,623",16,33,"0,644","15,9",30
Universidade dos Açores,0100,Faculdade de Ciências Sociais e Humanas,0150,Público,Universitário,Serviço Social,9238,Licenciatura 1.º ciclo,"0,227","12,2",35,"0,247","13,5",39,"0,37","14,1",36,"0,28","13,6",38,"0,327",14,35,"0,274","13,2",35
Universidade dos Açores,0100,Faculdade de Ciências Sociais e Humanas,0150,Público,Universitário,Sociologia,9240,Licenciatura 1.º ciclo,"0,125","11,6",20,"0,144","12,4",32,"0,153","12,6",29,"0,194","12,3",28,"0,223",13,28,"0,182","12,7",26
Universidade dos Açores,0100,Faculdade de Ciências Sociais e Humanas,0150,Público,Universitário,Comunicação e Relações Públicas,9652,Licenciatura 1.º ciclo,,,,,,,,,,"0,315","13,4",40,"0,307","13,5",40,"0,301","13,4",40
Universidade dos Açores,0100,Faculdade de Ciências Sociais e Humanas,0150,Público,Universitário,Educação Básica,9853,Licenciatura 1.º ciclo,"0,333","13,2",17,"0,378","14,1",22,"0,452","14,8",21,"0,338","14,4",21,"0,32","14,1",21,"0,482","15,5",22
Universidade dos Açores,0100,Faculdade de Ciências Sociais e Humanas,0150,Público,Universitário,Estudos Portugueses e Ingleses,L041,Licenciatura 1.º ciclo,"0,329","13,1",12,"0,391","13,9",21,"0,378",15,25,"0,323","14,7",24,"0,551","15,7",24,"0,47","15,3",24
Universidade dos Açores,0100,Faculdade de Ciências e Tecnologia,0160,Público,Universitário,Ciclo Básico de Medicina,8083,Preparatórios de Mestrado Integrado,"0,736","17,3",37,"0,667","17,9",44,"0,687","17,9",50,"0,743",18,50,"0,687","17,5",50,"0,693","17,6",50
Universidade dos Açores,0100,Faculdade de Ciências e Tecnologia,0160,Público,Universitário,Protecção Civil e Gestão de Riscos,8524,Licenciatura 1.º ciclo,"0,196","12,1",16,"0,234",13,26,"0,247","13,7",26,"0,177","12,8",24,"0,272","13,6",18,"0,304","13,9",14
Universidade dos Açores,0100,Faculdade de Ciências e Tecnologia,0160,Público,Universitário,Ciências de Engenharia - Engenharia Mecânica; Engenharia Eletrotécnica e de Computadores (Preparatórios),8571,Preparatórios de Licenciatura 1.º ciclo,,,,,,,"0,306","15,1",13,"0,384","14,9",12,"0,513","15,8",11,"0,458","15,7",12
Universidade dos Açores,0100,Faculdade de Ciências e Tecnologia,0160,Público,Universitário,Biologia,9011,Licenciatura 1.º ciclo,"0,253","12,9",16,"0,245","13,3",28,"0,347","15,1",28,"0,394","14,8",28,"0,244","13,6",28,"0,299",14,28
Universidade dos Açores,0100,Faculdade de Ciências e Tecnologia,0160,Público,Universitário,Informática,9185,Licenciatura 1.º ciclo,,,,"0,176","13,6",21,"0,177","13,2",20,"0,22","13,8",19,"0,187","13,8",16,"0,292","14,9",24
Universidade dos Açores,0100,Faculdade de Ciências e Tecnologia,0160,Público,Universitário,Ciências do Oceano (ensino em inglês),A017,Licenciatura 1.º ciclo,,,,,,,,,,,,,,,,,,
Universidade dos Açores,0100,Faculdade de Economia e Gestão,0170,Público,Universitário,Economia,9081,Licenciatura 1.º ciclo,"0,17","12,4",11,"0,155","13,7",14,"0,173","12,9",10,"0,208",14,5,"0,022","12,8",2,"0,491",16,5
Universidade dos Açores,0100,Faculdade de Economia e Gestão,0170,Público,Universitário,Gestão,9147,Licenciatura 1.º ciclo,"0,259","13,6",50,"0,313","14,6",52,"0,348",15,47,"0,314","14,9",49,"0,242","14,2",44,"0,24","14,2",46
Universidade dos Açores,0100,Faculdade de Economia e Gestão,0170,Público,Universitário,Turismo,9254,Licenciatura 1.º ciclo,"0,538","14,8",25,"0,358","14,6",27,"0,312","13,6",25,"0,254","13,2",25,"0,331","13,9",25,"0,31","13,7",25
Universidade dos Açores,0100,Escola Superior de Saúde - Angra do Heroísmo,7092,Público,Politécnico,Enfermagem,9500,Licenciatura 1.º ciclo,"0,21","12,5",26,"0,226","13,8",40,"0,206","13,8",38,"0,302",14,39,"0,234","14,1",36,"0,197","13,1",39
Universidade dos Açores,0100,Escola Superior de Saúde - Ponta Delgada,7093,Público,Politécnico,Enfermagem,9500,Licenciatura 1.º ciclo,"0,343","13,4",40,"0,449","14,8",40,"0,345",15,38,"0,356","14,9",40,"0,347","14,8",37,"0,333","14,6",40
Universidade do Algarve,0200,Faculdade de Ciências Humanas e Sociais,0201,Público,Universitário,Património Cultural e Arqueologia,8509,Licenciatura 1.º ciclo,"0,302","13,2",24,"0,141","12,5",34,"0,295","13,3",36,"0,246","13,4",29,"0,375",14,31,"0,254","13,5",30
Universidade do Algarve,0200,Faculdade de Ciências Humanas e Sociais,0201,Público,Universitário,"Línguas, Literaturas e Culturas",9204,Licenciatura 1.º ciclo,"0,261","12,7",22,"0,252","12,9",36,"0,316","13,3",40,"0,455","15,1",25,"0,423","14,7",25,"0,507","14,8",26
Universidade do Algarve,0200,Faculdade de Ciências Humanas e Sociais,0201,Público,Universitário,Psicologia,9219,Licenciatura 1.º ciclo,"0,546","14,4",62,"0,639","15,8",67,"0,586","16,2",68,"0,61","16,2",65,"0,715","16,5",65,"0,724","16,5",63
Universidade do Algarve,0200,Faculdade de Ciências Humanas e Sociais,0201,Público,Universitário,Artes Visuais,9817,Licenciatura 1.º ciclo,"0,43","13,7",23,"0,337","14,8",19,"0,39","15,2",26,"0,3","14,1",27,"0,305","14,1",26,"0,401","14,5",27
Universidade do Algarve,0200,Faculdade de Ciências Humanas e Sociais,0201,Público,Universitário,Ciências da Educação e da Formação,9821,Licenciatura 1.º ciclo,"0,26","12,5",29,"0,323","13,4",32,"0,315","14,2",36,"0,37","14,1",31,"0,394","14,4",31,"0,345",14,34
Universidade do Algarve,0200,Faculdade de Ciências Humanas e Sociais,0201,Público,Universitário,Línguas e Comunicação Intercultural,L252,Licenciatura 1.º ciclo,,,,,,,,,,"0,325","13,5",31,"0,462","14,2",31,"0,33","13,5",33
Universidade do Algarve,0200,Faculdade de Ciências e Tecnologia,0203,Público,Universitário,Arquitectura Paisagista,8258,Licenciatura 1.º ciclo,"0,392","13,2",11,"0,282","13,6",19,"0,328","14,7",21,"0,249",14,21,"0,28","14,4",21,"0,426","14,7",18
Universidade do Algarve,0200,Faculdade de Ciências e Tecnologia,0203,Público,Universitário,Agronomia,9003,Licenciatura 1.º ciclo,"0,284","12,2",6,"0,16","12,8",7,"0,14","13,1",18,"0,214","13,4",21,"0,156","12,9",19,"0,253","13,8",16
Universidade do Algarve,0200,Faculdade de Ciências e Tecnologia,0203,Público,Universitário,Biologia,9011,Licenciatura 1.º ciclo,"0,242","12,7",27,"0,257","13,5",57,"0,376","15,2",54,"0,396","14,8",42,"0,366","14,4",42,"0,347","14,3",42
Universidade do Algarve,0200,Faculdade de Ciências e Tecnologia,0203,Público,Universitário,Biologia Marinha,9013,Licenciatura 1.º ciclo,"0,265","13,1",58,"0,34","14,3",77,"0,358",15,78,"0,417",15,64,"0,381","14,8",64,"0,371","14,6",63
Universidade do Algarve,0200,Faculdade de Ciências e Tecnologia,0203,Público,Universitário,Bioquímica,9015,Licenciatura 1.º ciclo,"0,225","12,5",12,"0,23","13,3",30,"0,365","15,1",26,"0,316","14,7",22,"0,243","13,6",20,"0,232","13,7",22
Universidade do Algarve,0200,Faculdade de Ciências e Tecnologia,0203,Público,Universitário,Biotecnologia,9016,Licenciatura 1.º ciclo,"0,201","12,4",11,"0,186","13,1",31,"0,343","14,9",26,"0,386","14,6",21,"0,32","14,4",21,"0,121","13,2",19
Universidade do Algarve,0200,Faculdade de Ciências e Tecnologia,0203,Público,Universitário,Engenharia Informática,9119,Licenciatura 1.º ciclo,"0,227","13,2",66,"0,249","13,9",103,"0,161","13,5",69,"0,245","14,3",83,"0,311","14,8",83,"0,218","14,3",81
Universidade do Algarve,0200,Faculdade de Ciências e Tecnologia,0203,Público,Universitário,Matemática Aplicada à Economia e à Gestão,9210,Licenciatura 1.º ciclo,"0,331","13,6",21,"0,353","14,6",31,"0,292","14,2",22,"0,237","14,2",27,"0,229",14,23,"0,178","13,9",21
Universidade do Algarve,0200,Faculdade de Ciências e Tecnologia,0203,Público,Universitário,Ciências Farmacêuticas,9494,Mestrado Integrado,"0,38","14,1",42,"0,415","15,2",50,"0,507","16,1",56,"0,467","15,8",49,"0,317","14,9",47,"0,387",15,50
Universidade do Algarve,0200,Faculdade de Ciências e Tecnologia,0203,Público,Universitário,Bioengenharia,9540,Licenciatura 1.º ciclo,"0,233","13,4",3,"0,18","13,6",12,"0,162",14,12,"0,248","13,8",15,"0,231","14,5",8,"0,253","14,5",8
Universidade do Algarve,0200,Faculdade de Ciências e Tecnologia,0203,Público,Universitário,Gestão Marinha e Costeira,L123,Licenciatura 1.º ciclo,"0,206","11,9",24,"0,269","12,9",32,"0,234","13,6",30,"0,295","13,4",28,"0,222","12,9",29,"0,172","12,8",25
Universidade do Algarve,0200,Faculdade de Economia,0204,Público,Universitário,Economia,9081,Licenciatura 1.º ciclo,"0,296","13,3",30,"0,251","13,8",41,"0,225","13,6",40,"0,22","13,7",25,"0,202","13,6",25,"0,23","13,8",27
Universidade do Algarve,0200,Faculdade de Economia,0204,Público,Universitário,Gestão de Empresas,9152,Licenciatura 1.º ciclo,"0,491","14,4",57,"0,493","15,1",78,"0,512","15,6",73,"0,503","15,6",65,"0,51","15,3",65,"0,523","15,7",70
Universidade do Algarve,0200,Faculdade de Economia,0204,Público,Universitário,Sociologia,9240,Licenciatura 1.º ciclo,"0,388","13,4",29,"0,437","14,1",39,"0,355","14,5",40,"0,328","14,2",37,"0,377","14,6",38,"0,371","14,3",42
Universidade do Algarve,0200,Faculdade de Medicina e Ciências Biomédicas,0206,Público,Universitário,Ciências Biomédicas,9351,Licenciatura 1.º ciclo,"0,376","14,6",49,"0,286","14,6",50,"0,495","16,6",52,"0,587","16,9",53,"0,523","16,6",53,"0,436","15,9",52
Universidade do Algarve,0200,Escola Superior de Educação e Comunicação,3081,Público,Politécnico,Imagem Animada,8337,Licenciatura 1.º ciclo,"0,383","14,5",19,"0,45","14,9",24,"0,514","15,7",31,"0,487","16,1",35,"0,443","15,4",35,"0,476","15,7",36
Universidade do Algarve,0200,Escola Superior de Educação e Comunicação,3081,Público,Politécnico,Ciências da Comunicação,9023,Licenciatura 1.º ciclo,"0,551","14,4",41,"0,546","15,1",39,"0,545","15,4",41,"0,623","15,4",39,"0,565","15,7",38,"0,578","15,5",40
Universidade do Algarve,0200,Escola Superior de Educação e Comunicação,3081,Público,Politécnico,Design de Comunicação,9070,Licenciatura 1.º ciclo,"0,438","14,6",37,"0,305","14,7",49,"0,311","14,8",44,"0,338","14,8",38,"0,282","14,7",39,"0,436","15,3",39
Universidade do Algarve,0200,Escola Superior de Educação e Comunicação,3081,Público,Politécnico,Educação Social,9084,Licenciatura 1.º ciclo,"0,221","12,1",30,"0,288","13,3",34,"0,281","13,8",34,"0,339","14,2",34,"0,434","14,5",34,"0,36","13,9",36
Universidade do Algarve,0200,Escola Superior de Educação e Comunicação,3081,Público,Politécnico,Desporto,9563,Licenciatura 1.º ciclo,"0,382","13,5",33,"0,344","14,5",41,"0,384","14,6",44,"0,379","14,5",41,"0,473","15,2",41,"0,382","14,8",41
