SUBSISTEMA,TIPO INSTITUICAO,COD IES,COD UO,IES,IES UO,ASSOCIACAO,NUMERO REGISTO,CURSO,COD CURSO,ECTS,CNA/CL/CI,DURACAO,TIPO CURSO,COD CNAEF,LMA,REGIME GERAL DE ACESSO,MAIORES 23,DIPLOMADOS DET,DIPLOMADOS TESP,OUTROS CURSOS SUPERIORES,CURSOS DUPLA CERTIFICAÇÃO,MEDICINA PARA LICENCIADOS,ESTUDANTES INTERNACIONAIS,MUDANÇA DE PAR,REGIMES ESPECIAIS,TOTAL VAGAS CE,TOTAL VAGAS
Público,Politécnico,0100,7092,Universidade dos Açores,Universidade dos Açores - Escola Superior de Saúde - Angra do Heroísmo,n/a,R/A-Ef 208/2012,Enfermagem,9500,240,CNA,8 Semestres,L1,723,52,40,7,0,0,1,1,0,1,2,0,12,52
Público,Politécnico,0100,7093,Universidade dos Açores,Universidade dos Açores - Escola Superior de Saúde - Ponta Delgada,n/a,R/A-Ef 209/2012,Enfermagem,9500,240,CNA,8 Semestres,L1,723,50,40,7,0,0,1,0,0,1,1,0,10,50
Público,Universitário,0100,0140,Universidade dos Açores,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,n/a,R/A-Cr 139/2025,Biotecnologia,L390,180,CNA,3 anos,L1,421,25,15,2,2,0,0,2,0,2,2,0,10,25
Público,Universitário,0100,0140,Universidade dos Açores,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,n/a,R/A-Ef 2820/2011,Ciências Agrárias,9022,180,CNA,6 Semestres,L1,621,20,15,0,1,0,1,1,0,2,0,0,5,20
Público,Universitário,0100,0140,Universidade dos Açores,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,n/a,R/Cr-Prep 2722/2011,Ciências Farmacêuticas (preparatórios),8031,120,CNA,,PMI,727,999,13,2,0,0,0,0,0,0,0,0,2,15
Público,Universitário,0100,0140,Universidade dos Açores,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,n/a,R/A-Ef 2822/2011,Guias de Natureza e Património,L344,180,CNA,6 Semestres,L1,852,30,15,2,2,2,2,2,0,2,3,0,15,30
Público,Universitário,0100,0140,Universidade dos Açores,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,n/a,R/Cr-Prep 2202/2011,Medicina Veterinária (preparatórios),8086,120,CNA,,PMI,640,999,23,0,0,0,0,0,0,0,0,0,0,23
Público,Universitário,0100,0150,Universidade dos Açores,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,n/a,R/A-Ef 2842/2011,Comunicação e Relações Públicas,9652,180,CNA,6 Semestres,L1,342,50,40,6,0,0,0,1,0,1,2,0,10,50
Público,Universitário,0100,0150,Universidade dos Açores,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,n/a,R/A-Cr 86/2014,Educação Básica,9853,180,CNA,6 Semestres,L1,144,30,28,2,0,0,0,0,0,0,0,0,2,30
Público,Universitário,0100,0150,Universidade dos Açores,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,n/a,R/A-Ef 2837/2011,Estudos Europeus,9135,180,CNA,6 Semestres,L1,312,30,24,3,0,0,0,1,0,1,1,0,6,30
Público,Universitário,0100,0150,Universidade dos Açores,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,n/a,R/A-Cr 34/2014,Estudos Portugueses e Ingleses,L041,180,CNA,6 Semestres,L1,222,30,25,1,0,0,2,0,0,1,1,0,5,30
Público,Universitário,0100,0150,Universidade dos Açores,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,n/a,R/A-Cr 2839/2011,História,9181,180,CNA,3 anos,L1,225,30,25,2,0,0,1,0,0,1,1,0,5,30
Público,Universitário,0100,0150,Universidade dos Açores,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,n/a,R/A-Ef 3526/2011,Psicologia,9219,180,CNA,6 Semestres,L1,311,50,40,4,0,0,2,0,0,2,1,0,9,49
Público,Universitário,0100,0150,Universidade dos Açores,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,n/a,R/A-Ef 2843/2011,Serviço Social,9238,210,CNA,7 Semestres,L1,762,45,38,2,0,0,1,1,0,1,1,0,6,44
Público,Universitário,0100,0150,Universidade dos Açores,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,n/a,R/A-Ef 2844/2011,Sociologia,9240,180,CNA,6 Semestres,L1,312,35,28,2,0,0,1,1,0,0,1,0,5,33
